Site;parnr;Lupin;N;E
Backa;1;Yes;6672431.314;617081.703
Backa;1;No;6672431.314;617081.703
Backa;2;Yes;6672431.314;617081.703
Backa;2;No;6672431.314;617081.703
Bergsviken/Älvsbacka;1;Yes;6621502.938;424552.082
Bergsviken/Älvsbacka;1;No;6621444.286;424643.157
Bergsviken/Älvsbacka;2;Yes;6621488.133;424568.097
Bergsviken/Älvsbacka;2;No;6621493.859;424560.337
Brobacke;1;Yes;6654622.686;573697.751
Brobacke;1;No;6654622.686;573697.751
Brobacke;2;Yes;6654622.686;573697.751
Brobacke;2;No;6654622.686;573697.751
Brunkullsvägen;1;Yes;6644062.999;612703.008
Brunkullsvägen;1;No;6644062.999;612703.008
Brunkullsvägen;2;Yes;6644062.999;612703.008
Brunkullsvägen;2;No;6644062.999;612703.008
Bänntorpet;1;Yes;6643046.881;602226.068
Bänntorpet;1;No;6643046.881;602226.068
Bänntorpet;2;Yes;6643046.881;602226.068
Bänntorpet;2;No;6643046.881;602226.068
Dragkärret;1;Yes;6637862.681;599380.894
Dragkärret;1;No;6637862.681;599380.894
Dragkärret;2;Yes;6637862.681;599380.894
Dragkärret;2;No;6637862.681;599380.894
Enköping;1;Yes;6616274.8;617979.682
Enköping;1;No;6616274.8;617979.682
Enköping;2;Yes;6616274.306;617964.039
Enköping;2;No;6616274.306;617964.039
Flugbohöjden/Ettala;1;Yes;6589894.315;468371.968
Flugbohöjden/Ettala;1;No;6589893.959;468414.497
Flugbohöjden/Ettala;2;Yes;6589921.716;468159.538
Flugbohöjden/Ettala;2;No;6589920.66;468152.724
Gamsebo Hagaberg;1;Yes;6638672.407;594846.876
Gamsebo Hagaberg;1;No;6638672.407;594846.876
Gamsebo Hagaberg;2;Yes;6638672.407;594846.876
Gamsebo Hagaberg;2;No;6638672.407;594846.876
Gersbysäter/Gersby;1;Yes;6632348.437;413455.72
Gersbysäter/Gersby;1;No;6632365.339;413495.384
Gersbysäter/Gersby;2;Yes;6632438.293;413663.699
Gersbysäter/Gersby;2;No;6632398.12;413570.761
Gullvalla;1;Yes;6643020.781;581185.362
Gullvalla;1;No;6643020.781;581185.362
Gullvalla;2;Yes;6643020.781;581185.362
Gullvalla;2;No;6643020.781;581185.362
Häggstöd/Nyeds-Backa;1;Yes;6604020.86;424617.595
Häggstöd/Nyeds-Backa;1;No;6604024.575;424599.019
Häggstöd/Nyeds-Backa;2;Yes;6603373.979;424325.918
Häggstöd/Nyeds-Backa;2;No;6603856.071;424337.33
Jonsbol;1;Yes;6561602.694;454714.873
Jonsbol;1;No;6561616.409;454779.032
Kårbo;1;Yes;6647874.775;572017.287
Kårbo;1;No;6647874.775;572017.287
Kårbo;2;Yes;6647874.775;572017.287
Kårbo;2;No;6647874.775;572017.287
Kölnbacken;1;Yes;6647467.838;571776.943
Kölnbacken;1;No;6647467.838;571776.943
Kölnbacken;2;Yes;6647467.838;571776.943
Kölnbacken;2;No;6647467.838;571776.943
Larsbo;1;Yes;6635699.593;617506.193
Larsbo;1;No;6635699.593;617506.193
Larsbo;2;Yes;6635699.593;617506.193
Larsbo;2;No;6635699.593;617506.193
Lilla harnevi;1;Yes;6622216.136;617917.168
Lilla harnevi;1;No;6622216.136;617917.168
Lilla harnevi;2;Yes;6622216.136;617917.168
Lilla harnevi;2;No;6622216.136;617917.168
Littersbo 1;1;Yes;6640139.076;601155.305
Littersbo 1;1;No;6640139.076;601155.305
Littersbo 1;2;Yes;6640139.076;601155.305
Littersbo 1;2;No;6640139.076;601155.305
Littersbo 2;1;Yes;6642001.086;601337.674
Littersbo 2;1;No;6642001.086;601337.674
Littersbo 2;2;Yes;6642001.086;601337.674
Littersbo 2;2;No;6642001.086;601337.674
Lydinge;1;Yes;6634869.563;617688.285
Lydinge;1;No;6634869.563;617688.285
Lydinge;2;Yes;6634807.714;617690.246
Lydinge;2;No;6634807.714;617690.246
Manhem/Asphyttan;1;Yes;6610494.976;453678.906
Manhem/Asphyttan;1;No;6610477.389;453660.131
Manhem/Asphyttan;2;Yes;6610663.505;453740.213
Manhem/Asphyttan;2;No;6610680.146;453745.495
Missionskyrkan;1;Yes;6638922.619;594949.382
Missionskyrkan;1;No;6638922.619;594949.382
Missionskyrkan;2;Yes;6638922.619;594949.382
Missionskyrkan;2;No;6638922.619;594949.382
Motocrossbanan ;1;Yes;6643174.882;602377.956
Motocrossbanan ;1;No;6643174.882;602377.956
Motocrossbanan ;2;Yes;6643174.882;602377.956
Motocrossbanan ;2;No;6643174.882;602377.956
Nordsjö;1;Yes;6621252.416;413655.448
Nordsjö;1;No;6621254.271;413623.418
Nykroppa Herrhult;1;Yes;6621381.352;456392.249
Nykroppa Herrhult;1;No;6621374.552;456402.293
Nykroppa Herrhult;2;Yes;6618573.694;460071.2
Nykroppa Herrhult;2;No;6619358.768;459153.405
Nykroppa Herrhult;3;Yes;6617463.261;460496.196
Nykroppa Herrhult;3;No;6618773.806;459896.628
Odensfors;1;Yes;6680860.924;630155.667
Odensfors;1;No;6680860.924;630155.667
Odensfors;2;Yes;6680860.924;630155.667
Odensfors;2;No;6680860.924;630155.667
Ransta;1;Yes;6649490.25;590583.092
Ransta;1;No;6649490.25;590583.092
Ransta;2;Yes;6649490.25;590583.092
Ransta;2;No;6649490.25;590583.092
Runhällen;1;Yes;6654992.596;602174.864
Runhällen;1;No;6654992.596;602174.864
Runhällen;2;Yes;6654992.596;602174.864
Runhällen;2;No;6654992.596;602174.864
Rämmen-Haget;1;Yes;6641011.184;450041.648
Rämmen-Haget;1;No;6641003.163;450058.324
Rämmen-Haget;2;Yes;6640936.037;450163.16
Rämmen-Haget;2;No;6640947.399;450146.529
Rämmen-Haget;3;Yes;6640594.762;450612.906
Rämmen-Haget;3;No;6640585.421;450645.234
Röcklingeås;1;Yes;6643555.905;602724.853
Röcklingeås;1;No;6643555.905;602724.853
Röcklingeås;2;Yes;6643555.905;602724.853
Röcklingeås;2;No;6643555.905;602724.853
Rödmossa;1;Yes;6661520.071;602055.72
Rödmossa;1;No;6661520.071;602055.72
Rödmossa;2;Yes;6661520.071;602055.72
Rödmossa;2;No;6661520.071;602055.72
Slutbo;1;Yes;6636279.284;617238.633
Slutbo;1;No;6636279.284;617238.633
Slutbo;2;Yes;6636279.284;617238.633
Slutbo;2;No;6636279.284;617238.633
Snavlunda äng;1;Yes;6650908.957;494242.954
Snavlunda äng;1;No;6648328.782;494108.301
Solbo;1;Yes;6637867.687;599567.525
Solbo;1;No;6637867.687;599567.525
Solbo;2;Yes;6637867.687;599567.525
Solbo;2;No;6637867.687;599567.525
Stavkärr/Svinnersta;1;Yes;6537475.952;489646.444
Stavkärr/Svinnersta;1;No;6537424.86;489598.588
Stavkärr/Svinnersta;2;Yes;6537391.337;487748.957
Stavkärr/Svinnersta;2;No;6537356.738;487774.144
Stavkärr/Svinnersta;3;Yes;6537598.995;487239.111
Stavkärr/Svinnersta;3;No;6537580.041;487246.521
Söderfors;1;Yes;6693748.141;623239.063
Söderfors;1;No;6693748.141;623239.063
Söderfors;2;Yes;6693748.141;623239.063
Söderfors;2;No;6693748.141;623239.063
Sörbäck;1;Yes;6639099.046;594587.044
Sörbäck;1;No;6639099.046;594587.044
Sörbäck;2;Yes;6639099.046;594587.044
Sörbäck;2;No;6639099.046;594587.044
Torsked;1;Yes;6617027.742;422563.463
Torsked;1;No;6616988.264;422533.356
Västerby;1;Yes;6643930.254;583122.716
Västerby;1;No;6643930.254;583122.716
Västerby;2;Yes;6643930.254;583122.716
Västerby;2;No;6643930.254;583122.716
Östanbäck;1;Yes;6644102.974;582544.094
Östanbäck;1;No;6644102.974;582544.094
Östanbäck;2;Yes;6644102.974;582544.094
Östanbäck;2;No;6644102.974;582544.094
Östanbäcks kloster;1;Yes;6644216.677;582091.101
Östanbäcks kloster;1;No;6644216.677;582091.101
Östanbäcks kloster;2;Yes;6644216.677;582091.101
Östanbäcks kloster;2;No;6644216.677;582091.101
Österunda1;1;Yes;6633789.678;617800.444
Österunda1;1;No;6633789.678;617800.444
Österunda1;2;Yes;6633789.678;617800.444
Österunda1;2;No;6633789.678;617800.444
Österunda2;1;Yes;6633357.23;617829.747
Österunda2;1;No;6633357.23;617829.747
Österunda2;2;Yes;6633357.23;617829.747
Österunda2;2;No;6633357.23;617829.747
